HOTELES,CATEGORÍA,Nº HABITACIONES,PLAZAS HOTELERAS (*),Dirección ,Teléfono,Latitud ,Longitud,Página web
PCM HOTELES FORUM ALCALÁ,4 *,132,264,Calle Bulgaria. 2 ,91 291 85 00,40.48130377497928,-3.3764345576728156,www.pcmforumalcala.com
PARADOR DE ALCALÁ DE HENARES,4 *,128,256,Calle Colegios. 8,91 888 03 30,40.48164665275396,-3.3615980018511897,www.parador.es
HOTEL AC,4 *,90,180,Calle Octavio Paz. 25,91 802 39 70,40.503278526466794,-3.3660020153435832,www.ac-hotels.com
HOTEL ISLA DE LA GARENA,4 *,79,158,Calle Galileo Galilei. 18,91  878 16 70,40.48636299803449,-3.40169808650838,www.hotelislagarena.com
EL ENCÍN GOLF HOTEL,4 *,39,78,Autovia A2 Km 35.600 Salida 32,91 830 70 69,40.522579701251566,-3.311426771709494,www.encingolf.com
HOTEL CAMPANILE,3 *,108,216,Calle Fausto Elhuyar. 3,91 802 56 12,40.482000509702814,-3.394443171165775,www.campanile.com
HOTEL IBIS  Madrid Alcalá de Henares LA GARENA ,3 *,65,130,Calle Antonio Suarez. 8 ,91 879 61 81,40.475261511631146,-3.392667374865441,www.ibishotel.com
HOTEL BEDEL,3 *,50,100,Plaza de San Diego. 8,91 888 67 26,40.48320994613451,-3.363528457672761,www.hotelelbedel.com
HOTEL CISNEROS,3 *,42,84,Paseo de Pastrana. 32,91 888 25 11,40.47164984609259,-3.366797303701208,www.cisneroshotel.com
HOSTAL EL VAL,3 *,33,66,Calle Zaragoza 4 y 6,91 883 59 58,40.48478228197862,-3.3468420730154183,www.hostalelval.com
HOTEL EVENIA ALCALÁ,3 *,32,64,Calle Cardenal Cisneros. 22,91 883 02 95,40.480930927705934,-3.370961473015542,www.eveniahotels.com
HOSTEL COMPLUTUM,3 *,13,47,Plaza de San Diego. 2,91 880 03 87,40.483419923469505,-3.363440586508437,www.hostelcomplutum.com
HOTEL IBIS BUDGET ALCALÁ DE HENARES,2*,85,170,A2 KM. 33 (CC. La Dehesa),91 879 68 50,40.50030830247347,-3.336857273015028,www.ibisbudget.com
HOTEL ZOUK,2*,70,140,Isaac Newton. 2,91 877 18 20,40.49405578239127,-3.3889607018508556,www.zoukhotel.com
HOSTAL COMPLUTENSE,2*,19,38,Calle Encomienda. 9,91 882 34 69,40.48544438036875,-3.3600297171937936,www.hotelesalcala.com/complutense
HOSTAL DON JUAN I,2*,17,34,Calle Don Juan I. 9,91 883 34 84,40.486202418179246,-3.366804646029453,www.donjuani.com
HOSTAL CUATRO CAÑOS,2*,15,30,Calle Divino Figueroa. 10,91 881 38 44,40.484152106193584,-3.360046357672728,www.hostalalcala.com
HOSTAL MIGUEL DE CERVANTES ,2*,13,26,Calle Imagen. 12,91 883 12 77,40.48285530741651,-3.367493144179796,www.hcervantes.es
HOTEL APART. DON JUAN I (ESTUDIOS) (**),2*,8,24,Calle Don Juan I. 11,91 883 34 84,40.48599599901623,-3.3669626171937805,www.hostaldonjuani.com
EL SUEÑO DEL QUIJOTE ROOMS,2*,6,12,Paseo de Pastrana. 33,91 819 93 88/601 40 94 31,40.475343069538894,-3.3664103595227237,www.quijoterooms.com
LA POSADA MAGISTRAL,2*,5,10,Calle Tercia. 8,91 877 84 30,40.480102214779855,-3.3695754576728447,www.laposadamagistral.com
HOTEL APART. DON JUAN I (HAB.),2*,3,6,Calle Don Juan I. 11,91 883 34 84,40.48603679887175,-3.366898244179719,www.donjuani.com
,,,,,,,,
